Data,"Fechamento
ajust p/ prov
Em moeda orig
MGLU3"," LPA
 Em moeda orig
 no exercício
 consolid:sim*
 ajust p/ prov
MGLU3"," Patrim Liq
 Em moeda orig
 em milhares
 consolid:sim*
MGLU3","Qtd Ações
Outstanding
da empresa
em milhares
MGLU3"," CapSoc
 Em moeda orig
 em milhares
 consolid:sim*
MGLU3"," Div Tt Bruta
 Em moeda orig
 em milhares
 consolid:sim*
MGLU3"," Lucro Liquido
 Em moeda orig
 em milhares
 no exercício
 consolid:sim*
MGLU3"," Margem Liquida
 de 12 meses
 consolid:sim*
MGLU3","Fechamento
ajust p/ prov
Em moeda orig
VVAR3","Retorno
do fechamento
em 1 trimestre
Em moeda orig
ajust p/ prov
MGLU3"
3T2015,"0,22071856017","-0,0092784485518",713.897,176.666,606.505,2.011.200,-13.211,"0,3","2,7041407587",-
4T2015,"0,27053351299","-0,046163267752",575.656,21.874,606.505,1.823.310,-65.605,"-0,7","1,441545625","22,57"
1T2016,"0,44833457534","0,0037534736072",663.585,21.624,606.505,1.764.109,5.254,"-0,7","2,4058899397","65,72"
2T2016,"0,5901155949","0,011260630657",674.735,21.594,606.505,1.696.694,15.673,"-0,6","3,0825508397","31,62"
3T2016,"1,1725673509","0,029164801173",696.308,21.521,606.505,1.754.203,40.496,"-0,1","3,0747823277","98,70"
4T2016,"1,6273395509","0,062471854349",621.586,21.274,606.505,1.848.776,86.565,"0,9","3,582270673","38,78"
1T2017,"2,7145317365","0,043012586107",682.380,21.274,606.505,1.578.170,58.563,"1,4","3,6220736805","66,81"
2T2017,"3,9430315484","0,096155674412",747.018,21.274,606.505,1.381.646,130.919,"1,9","4,0002022515","45,26"
3T2017,"9,1441366001","0,1638916401",861.782,188.989,606.505,1.606.917,223.403,"2,4","7,8013894657","131,91"
4T2017,"9,9435972314","0,27774881565",2.073.977,189.231,1.719.886,871.498,389.022,"3,2","7,9182861994","8,74"
1T2018,"12,171063342","0,097423466618",2.047.570,189.043,1.719.886,818.775,147.483,"3,7","8,1379612264","22,40"
2T2018,"15,910268586","0,19048251838",2.188.569,190.591,1.719.886,581.887,288.229,"4,0","5,89","30,72"
3T2018,"15,226570818","0,26880839151",2.312.324,189.077,1.719.886,577.816,407.785,"3,9","5,06","-4,30"
4T2018,"22,508573583","0,39410837304",2.302.872,188.964,1.719.886,455.967,597.429,"3,8","4,39","47,82"
1T2019,"21,557320779","0,087386651937",2.433.043,189.018,1.719.886,450.516,132.104,"3,6","4,22","-4,23"
2T2019,"26,39","0,343090974",3.110.946,189.018,1.719.886,1.163.667,518.730,"4,9","5,07","22,42"
3T2019,"36,57",-,-,1.512.142,-,-,-,-,"7,86","38,58"
